No,gene,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
99,ATRX,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0010438, HP:0011682, HP:0031566",9,,
100,AUTS2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
101,B2M,HP:0001627,1,0.000923374,
102,B3GALT6,"HP:0001627, HP:0001629, HP:0001631, HP:0001642, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",13,0.001443982,
103,B3GAT3,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001672, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0011994",13,,
104,B3GLCT,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0005182, HP:0010438, HP:0011994, HP:0031566, HP:0045017",15,,
105,B9D1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
106,B9D2,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
107,BAG3,HP:0001627,1,0.006240994,
108,BANF1,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,4.23255E-06,
109,BAZ1B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001699, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
110,BBS1,"HP:0001627, HP:0001711, HP:0001713",3,,
111,BBS2,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0005120, HP:0011994",8,,
112,BCAS3,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,0.005973386
113,BCL7B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001737, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,0.042824897,
114,BCOR,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001651, HP:0001654, HP:0001657, HP:0001671, HP:0001710, HP:0001713, HP:0001719, HP:0001805, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",20,,
115,BCR,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
116,BCS1L,HP:0001627,1,0.022666057,
117,BICC1,"HP:0001627, HP:0001654, HP:0001720, HP:0006705",4,,
118,BICRA,"HP:0001627, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",10,,
119,BIN1,"HP:0001627, HP:0001654, HP:0001711, HP:0001713",4,,
120,BMP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011682, HP:0011994",12,,
121,BMPR1A,"HP:0001627, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0011994, HP:0100571",7,,
122,BMPR2,"HP:0001627, HP:0001707, HP:0001713",3,,
123,BOLA3,HP:0001627,1,0.010687291,
124,BRAF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001652, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001802, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",19,,0.00022323
125,BRCA1,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
126,BRCA2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
127,BRCC3,HP:0001627,1,,
128,BRD4,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
129,BRF1,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001713, HP:0001796, HP:0006705, HP:0010438",8,,
130,BRIP1,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
131,BSCL2,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,,0.000902186
132,BTK,"HP:0001627, HP:0001707, HP:0001713",3,,
133,BUB1,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,,
134,BUB1B,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,,
135,BUB3,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,0.037214847,
136,BUD23,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001709, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
137,C1QBP,"HP:0001627, HP:0001711, HP:0001713",3,1.28148E-05,
138,C2CD3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
139,C4A,HP:0001627,1,,
140,CACNA1A,HP:0001627,1,,0.045713503
141,CACNA1C,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",13,0.005205355,
142,CACNA1D,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0011994",10,,0.039763989
143,CACNA1S,HP:0001627,1,,
144,CALCRL,HP:0001627,1,,
145,CALM3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0011682",6,4.52021E-06,
146,CANT1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
147,CAP2,HP:0001627,1,0.025850747,
148,CAPN15,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
149,CARS1,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
150,CASK,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
151,CASQ2,HP:0001627,1,5.15122E-08,
152,CASZ1,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
153,CAV1,HP:0001627,1,0.000264216,
154,CAV3,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,0.002558997,
155,CAVIN1,HP:0001627,1,,
156,CBL,"HP:0001627, HP:0001641, HP:0001646, HP:0001647, HP:0001654",5,,
157,CBS,"HP:0001627, HP:0001654, HP:0001746, HP:0006705",4,,
158,CBY1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
159,CC2D2A,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
160,CCBE1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
161,CCDC103,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
162,CCDC174,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
163,CCDC22,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001725, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",20,0.031746276,
164,CCDC28B,"HP:0001627, HP:0001711, HP:0001713",3,0.005227935,
165,CCDC32,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0006695, HP:0010438",6,,
166,CCDC39,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
167,CCDC40,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.006443737
168,CCDC65,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
169,CCND2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,3.12046E-05,
170,CCNO,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
171,CCNQ,"HP:0001627, HP:0001640, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0006705, HP:0011545, HP:0011546, HP:0011560",10,,
172,CCR1,HP:0001627,1,,
173,CD96,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
174,CDC42,"HP:0001627, HP:0001671",2,2.25749E-08,
175,CDC45,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001674, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",10,,
176,CDH2,"HP:0001627, HP:0001651, HP:0001671, HP:0001707, HP:0001713, HP:0006695",6,0.00893736,
177,CDH23,HP:0001627,1,,
178,CDK10,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
179,CDK13,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
180,CDK8,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",16,,
181,CDKL5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
182,CDKN1C,HP:0001627,1,,
183,CDON,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
184,CENPE,HP:0001627,1,,
185,CEP104,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
186,CEP120,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.047385389
187,CEP290,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0010438, HP:0011534, HP:0011994",11,,
188,CEP41,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
189,CEP57,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0011103, HP:0011994",10,,
190,CFAP221,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
191,CFAP298,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
192,CFAP300,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
193,CFAP45,"HP:0001627, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0005120, HP:0006695, HP:0010445, HP:0011534, HP:0011577, HP:0011994",11,,
194,CFAP52,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
195,CFAP53,"HP:0001627, HP:0001651, HP:0001669, HP:0011545, HP:0011563",5,,
196,CFC1,"HP:0001627, HP:0001651, HP:0001669, HP:0001671, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0006695, HP:0011534, HP:0011535, HP:0011545, HP:0011563, HP:0011599, HP:0011723",15,,
197,CFTR,"HP:0001627, HP:0001707, HP:0001713",3,,
198,CHD4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
199,CHD7,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001684, HP:0001702, HP:0001710, HP:0001713, HP:0001719, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994, HP:0030732",20,,
200,CHKB,HP:0001627,1,,
201,CHRM3,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
202,CHRNA1,"HP:0001627, HP:0001961",2,,
203,CHRND,"HP:0001627, HP:0001961",2,,
204,CHRNG,"HP:0001627, HP:0001646, HP:0001654, HP:0001961",4,,
205,CHST14,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0005120, HP:0011994",6,,
206,CHST3,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001719, HP:0005120, HP:0006705, HP:0010438, HP:0011994",15,,
207,CHUK,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
208,CISD2,HP:0001627,1,,
209,CITED2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001696, HP:0001707, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011682, HP:0011994, HP:0025580",18,0.007040192,
210,CKAP2L,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
211,CLCN3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
212,CLCN7,"HP:0001627, HP:0001641, HP:0001654",3,,
213,CLCNKB,HP:0001627,1,,
214,CLEC7A,HP:0001627,1,,
215,CLIC2,"HP:0001627, HP:0001654, HP:0001761, HP:0006705",4,,
216,CLIP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001791, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
217,CLN3,HP:0001627,1,,
218,CLPB,HP:0001627,1,,0.01131313
219,COA5,HP:0001627,1,0.001323818,
220,COA6,"HP:0001627, HP:0030681, HP:0031192",3,,
221,COA8,HP:0001627,1,,
222,COG1,"HP:0001627, HP:0001671, HP:0001711, HP:0001713, HP:0011994, HP:0011995",6,,
223,COG6,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
224,COG7,HP:0001627,1,,
225,COL11A1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
226,COL18A1,"HP:0001627, HP:0001651",2,0.00195927,
227,COL1A1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001677, HP:0001702, HP:0001784, HP:0005120, HP:0006705, HP:0011994",10,0.000231388,
228,COL1A2,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001706, HP:0001711, HP:0001713, HP:0001786, HP:0005120, HP:0006705, HP:0011994",11,0.000121617,
229,COL2A1,"HP:0001627, HP:0001654, HP:0001685, HP:0001697, HP:0006705",5,,
230,COL3A1,"HP:0001627, HP:0001654, HP:0001700, HP:0001776, HP:0006705",5,6.99864E-05,
231,COL5A1,"HP:0001627, HP:0001635, HP:0001654, HP:0001702, HP:0001760, HP:0006705",6,0.021423567,
232,COL5A2,"HP:0001627, HP:0001654, HP:0001702, HP:0001713, HP:0006705",5,0.016185928,
233,COL7A1,HP:0001627,1,,
234,COLQ,"HP:0001627, HP:0001707, HP:0001713",3,,
235,COMT,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011669, HP:0011994",18,,
236,COQ2,HP:0001627,1,0.001203293,
237,COQ4,"HP:0001627, HP:0001961, HP:0004383, HP:0045017",4,,
238,COQ7,"HP:0001627, HP:0001711, HP:0001713",3,,0.005781479
239,COQ9,"HP:0001627, HP:0001711, HP:0001713",3,,
240,COX1,"HP:0001627, HP:0001711, HP:0001713",3,,
241,COX10,HP:0001627,1,,
242,COX14,HP:0001627,1,0.009622673,
243,COX15,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
244,COX16,"HP:0001627, HP:0001711, HP:0001713",3,0.00010628,
245,COX2,"HP:0001627, HP:0001711, HP:0001713",3,,
246,COX3,"HP:0001627, HP:0001711, HP:0001713",3,,
247,COX5A,HP:0001627,1,0.000636107,
248,COX6B1,"HP:0001627, HP:0001713",2,9.64397E-07,
249,COX7B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001766, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",16,1.55276E-05,
250,CPE,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
251,CPLANE1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
252,CPLX1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
253,CPT1A,HP:0001627,1,0.003603671,
254,CPT2,"HP:0001627, HP:0001713",2,,
255,CRB2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
256,CREBBP,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",12,,
257,CRELD1,"HP:0001627, HP:0001651, HP:0001671, HP:0006695",4,,
