gene_short_name,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
BRD4,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
BRF1,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001713, HP:0001796, HP:0006705, HP:0010438",8,,
BRIP1,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
BSCL2,"HP:0001627, HP:0001671, HP:0001713, HP:0010438",4,,0.000902186
BTK,"HP:0001627, HP:0001707, HP:0001713",3,,
BUB1,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,,
BUB1B,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,,
BUB3,"HP:0001627, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0011103, HP:0011994",8,0.037214847,
BUD23,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001709, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
C1QBP,"HP:0001627, HP:0001711, HP:0001713",3,1.28148E-05,
C2CD3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
C4A,HP:0001627,1,,
CACNA1A,HP:0001627,1,,0.045713503
CACNA1C,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",13,0.005205355,
CACNA1D,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0011994",10,,0.039763989
CACNA1S,HP:0001627,1,,
CALCRL,HP:0001627,1,,
CALM3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0011682",6,4.52021E-06,
CANT1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CAP2,HP:0001627,1,0.025850747,
CAPN15,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
CARS1,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
CASK,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CASQ2,HP:0001627,1,5.15122E-08,
CASZ1,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
CAV1,HP:0001627,1,0.000264216,
CAV3,"HP:0001627, HP:0001711, HP:0001713, HP:0011103",4,0.002558997,
CAVIN1,HP:0001627,1,,
CBL,"HP:0001627, HP:0001641, HP:0001646, HP:0001647, HP:0001654",5,,
CBS,"HP:0001627, HP:0001654, HP:0001746, HP:0006705",4,,
CBY1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CC2D2A,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CCBE1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
CCDC103,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CCDC174,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CCDC22,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001725, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",20,0.031746276,
CCDC28B,"HP:0001627, HP:0001711, HP:0001713",3,0.005227935,
CCDC32,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0006695, HP:0010438",6,,
CCDC39,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CCDC40,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.006443737
CCDC65,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CCND2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,3.12046E-05,
CCNO,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CCNQ,"HP:0001627, HP:0001640, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0006705, HP:0011545, HP:0011546, HP:0011560",10,,
CCR1,HP:0001627,1,,
CD96,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CDC42,"HP:0001627, HP:0001671",2,2.25749E-08,
CDC45,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001674, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",10,,
CDH2,"HP:0001627, HP:0001651, HP:0001671, HP:0001707, HP:0001713, HP:0006695",6,0.00893736,
CDH23,HP:0001627,1,,
CDK10,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
CDK13,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
CDK8,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",16,,
CDKL5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CDKN1C,HP:0001627,1,,
CDON,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
CENPE,HP:0001627,1,,
CEP104,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CEP120,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.047385389
CEP290,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0010438, HP:0011534, HP:0011994",11,,
CEP41,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CEP57,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001711, HP:0001713, HP:0005120, HP:0010438, HP:0011103, HP:0011994",10,,
CFAP221,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CFAP298,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CFAP300,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
CFAP45,"HP:0001627, HP:0001631, HP:0001651, HP:0001671, HP:0001696, HP:0005120, HP:0006695, HP:0010445, HP:0011534, HP:0011577, HP:0011994",11,,
CFAP52,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CFAP53,"HP:0001627, HP:0001651, HP:0001669, HP:0011545, HP:0011563",5,,
CFC1,"HP:0001627, HP:0001651, HP:0001669, HP:0001671, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0006695, HP:0011534, HP:0011535, HP:0011545, HP:0011563, HP:0011599, HP:0011723",15,,
CFTR,"HP:0001627, HP:0001707, HP:0001713",3,,
CHD4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
CHD7,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001684, HP:0001702, HP:0001710, HP:0001713, HP:0001719, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994, HP:0030732",20,,
CHKB,HP:0001627,1,,
CHRM3,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
CHRNA1,"HP:0001627, HP:0001961",2,,
CHRND,"HP:0001627, HP:0001961",2,,
CHRNG,"HP:0001627, HP:0001646, HP:0001654, HP:0001961",4,,
CHST14,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0005120, HP:0011994",6,,
CHST3,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001719, HP:0005120, HP:0006705, HP:0010438, HP:0011994",15,,
CHUK,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
CISD2,HP:0001627,1,,
CITED2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001696, HP:0001707, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011682, HP:0011994, HP:0025580",18,0.007040192,
CKAP2L,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CLCN3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
CLCN7,"HP:0001627, HP:0001641, HP:0001654",3,,
CLCNKB,HP:0001627,1,,
CLEC7A,HP:0001627,1,,
CLIC2,"HP:0001627, HP:0001654, HP:0001761, HP:0006705",4,,
CLIP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001791, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
CLN3,HP:0001627,1,,
CLPB,HP:0001627,1,,0.01131313
COA5,HP:0001627,1,0.001323818,
COA6,"HP:0001627, HP:0030681, HP:0031192",3,,
COA8,HP:0001627,1,,
COG1,"HP:0001627, HP:0001671, HP:0001711, HP:0001713, HP:0011994, HP:0011995",6,,
COG6,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
COG7,HP:0001627,1,,
COL11A1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
COL18A1,"HP:0001627, HP:0001651",2,0.00195927,
COL1A1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001677, HP:0001702, HP:0001784, HP:0005120, HP:0006705, HP:0011994",10,0.000231388,
COL1A2,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001706, HP:0001711, HP:0001713, HP:0001786, HP:0005120, HP:0006705, HP:0011994",11,0.000121617,
COL2A1,"HP:0001627, HP:0001654, HP:0001685, HP:0001697, HP:0006705",5,,
COL3A1,"HP:0001627, HP:0001654, HP:0001700, HP:0001776, HP:0006705",5,6.99864E-05,
COL5A1,"HP:0001627, HP:0001635, HP:0001654, HP:0001702, HP:0001760, HP:0006705",6,0.021423567,
COL5A2,"HP:0001627, HP:0001654, HP:0001702, HP:0001713, HP:0006705",5,0.016185928,
COL7A1,HP:0001627,1,,
COLQ,"HP:0001627, HP:0001707, HP:0001713",3,,
COMT,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011669, HP:0011994",18,,
COQ2,HP:0001627,1,0.001203293,
COQ4,"HP:0001627, HP:0001961, HP:0004383, HP:0045017",4,,
COQ7,"HP:0001627, HP:0001711, HP:0001713",3,,0.005781479
COQ9,"HP:0001627, HP:0001711, HP:0001713",3,,
COX1,"HP:0001627, HP:0001711, HP:0001713",3,,
COX10,HP:0001627,1,,
COX14,HP:0001627,1,0.009622673,
COX15,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
COX16,"HP:0001627, HP:0001711, HP:0001713",3,0.00010628,
COX2,"HP:0001627, HP:0001711, HP:0001713",3,,
COX3,"HP:0001627, HP:0001711, HP:0001713",3,,
COX5A,HP:0001627,1,0.000636107,
COX6B1,"HP:0001627, HP:0001713",2,9.64397E-07,
COX7B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0001766, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",16,1.55276E-05,
CPE,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
CPLANE1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CPLX1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
CPT1A,HP:0001627,1,0.003603671,
CPT2,"HP:0001627, HP:0001713",2,,
CRB2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CREBBP,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",12,,
CRELD1,"HP:0001627, HP:0001651, HP:0001671, HP:0006695",4,,
CRKL,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.030271922,
CRYAB,HP:0001627,1,9.16761E-07,
CSGALNACT1,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
CSNK2A1,HP:0001627,1,,
CSPP1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
CSRP3,"HP:0001627, HP:0001706",2,6.78823E-09,
CTBP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,7.62034E-07,
CTCF,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.025660893
CTLA4,HP:0001627,1,,
CTU2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
