Gene Symbol,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile
BTLA,0.8139859271306,87.8155225288983
BTN1A1,0.841481379005888,88.3581033262562
BTN2A1,0.870809653023633,88.8652984194385
BTN2A2,2.24525003273752,98.1953290870488
BTN3A1,0.531004227731177,80.8799245104978
BTN3A2,0.795569042832426,87.4911535739561
BTN3A3,-0.284704230294227,33.4866713847606
BTNL3,1.28608530043137,93.8016041519226
BTNL8,2.51357998539639,98.6730360934182
BTNL9,-0.134019284192217,43.9077612644492
BTRC,-0.380166007171021,27.8839348903043
BUB1,-1.21796882648966,5.63812219863175
BUB1B,-0.0624234355592285,48.8676574663836
BUB3,-0.207437528858246,38.2814343005426
BUD13,0.778977686395736,87.2139655579146
BUD31,-0.0310671880788603,51.0379806558151
BVES,0.0625756339661505,58.7402689313517
BYSL,0.442818084542073,77.8544468034914
BZRAP1,2.27863308870617,98.2719981127624
BZW1,-0.185391281642191,39.6791696154753
BZW2,-0.404032746402437,26.5333805142722
C10orf10,-0.0274281004042269,51.6572304788865
C10orf105,1.21268092697506,93.070299598962
C10orf107,-0.404032746402437,26.5333805142722
C10orf11,0.170987911949958,65.5579146025006
C10orf111,0.683515289697943,85.0377447511205
C10orf113,1.28245472658146,93.7131398914838
C10orf116,-0.0531135451807282,49.3866477942911
C10orf118,-0.308569083236907,32.171502712904
C10orf12,-0.121287851636538,44.1200754895022
C10orf120,0.110306132377894,62.0016513328615
C10orf122,1.302692676234,93.9372493512621
C10orf128,0.681699245614544,84.931587638594
C10orf129,0.683515289697943,85.0377447511205
C10orf137,-0.771553416872604,13.1516867185657
C10orf2,-0.77700557772898,12.9747581976881
C10orf25,0.591694063015805,82.4545883463081
C10orf32,-0.163345026923734,41.2479358339231
C10orf35,0.0809838471560697,59.760556735079
C10orf53,0.393270924652662,76.0497758905402
C10orf54,0.130533008070585,63.3581033262562
C10orf55,0.679884223307644,84.8136352913423
C10orf57,-0.163345026923734,41.2479358339231
C10orf62,0.0607565283182389,58.5279547062987
C10orf67,0.0368911799368499,56.6407171502713
C10orf68,0.868987490652516,88.8476055673508
C10orf71,2.58893600602436,98.7556027364945
C10orf76,-0.426079031577377,25.3656522764803
C10orf82,-0.0274281004042269,51.6572304788865
C10orf88,-0.179930906964935,40.3573956121727
C10orf90,0.804668133743831,87.7152630337344
C10orf91,0.0387103394845901,56.9238027836754
C10orf99,0.103030230903726,61.2762443972635
C11orf1,0.148941567522195,64.3194149563576
C11orf10,0.035072053907763,56.2514744043406
C11orf16,1.60024426367093,95.8893606982779
C11orf21,0.88013067081775,88.9596602972399
C11orf24,0.156217550918312,64.8207124321774
C11orf30,-1.94749110296996,1.87544232130219
C11orf31,0.215080721481145,67.9169615475348
C11orf40,0.795569042832426,87.4911535739561
C11orf41,-3.24038406195753,0.442321302193914
C11orf42,-0.00356259705858157,53.727294173154
C11orf45,0.058937497744424,58.2625619249823
C11orf48,0.593509966171948,82.513564519934
C11orf49,-0.532670911275394,20.7832035857514
C11orf52,0.413500896465616,76.6749233309743
C11orf53,-0.181750738820439,40.1568766218448
C11orf54,0.349177631575732,74.1802311866006
C11orf57,-0.205617011393044,38.5763151686719
C11orf58,0.035072053907763,56.2514744043406
C11orf63,-1.28411736162069,5.11323425336164
C11orf65,0.66146803720145,84.4420853974994
C11orf67,0.281220278447086,71.0780844538806
C11orf68,0.569646742967092,81.8884170794999
C11orf70,-0.22948377130373,36.8601085161595
C11orf71,0.281220278447086,71.0780844538806
C11orf73,0.0368911799368499,56.6407171502713
C11orf74,0.193034295692284,66.8200047180939
C11orf75,-0.00902080435145549,52.8544468034914
C11orf80,0.106667881961532,61.7303609341826
C11orf82,0.161677042817357,64.9622552488795
C11orf83,0.613741468341561,83.067940552017
C11orf84,0.018483464796251,55.449398443029
C11orf85,-0.427900189387204,25.1474404340646
C11orf86,0.0571185339035323,57.997169143666
C11orf87,0.0368911799368499,56.6407171502713
C11orf88,1.1483435581067,92.4274593064402
C11orf9,-1.08204451752413,7.24227412125501
C11orf93,0.035072053907763,56.2514744043406
C11orf94,0.058937497744424,58.2625619249823
C12orf10,0.77715778376716,87.1785798537391
C12orf23,0.0571185339035323,57.997169143666
C12orf26,0.312359768845885,72.7117244633168
C12orf29,-0.0953862162090365,46.485020051899
C12orf35,2.84647856240753,99.1153573956122
C12orf39,0.0571185339035323,57.997169143666
C12orf4,-0.604271810115722,17.7459306440198
C12orf40,1.0655969542585,91.6135881104034
C12orf42,1.59660709052515,95.8716678461901
C12orf43,0.262810044645739,70.4352441613588
C12orf44,-0.427900189387204,25.1474404340646
C12orf45,0.283038099290288,71.2668082094834
C12orf49,0.194852701846611,67.032318943147
C12orf5,-0.0292476111805028,51.4036329322954
C12orf50,0.352813824246712,74.4928049068176
C12orf52,0.48509272434888,79.3760320830385
C12orf53,0.0809838471560697,59.760556735079
C12orf54,0.569646742967092,81.8884170794999
C12orf56,-0.246069118713615,36.069827789573
C12orf57,-0.117432389280715,44.8926633640009
C12orf59,0.349177631575732,74.1802311866006
C12orf60,0.415317660853491,76.8105685303137
C12orf65,0.12689525967705,63.0042462845011
C12orf66,0.349177631575732,74.1802311866006
C12orf68,0.0809838471560697,59.760556735079
C12orf69,0.948089677055828,89.9563576315169
C12orf70,0.88194468384394,89.0245340882284
C12orf71,0.66146803720145,84.4420853974994
C12orf73,0.834220813043712,88.1575843359283
C12orf74,0.549415813338373,81.3812219863175
C12orf75,0.123258210139749,62.3849964614296
C12orf76,-0.0972061904355301,46.2019344184949
C12orf77,0.659651797200672,84.3536211370606
C13orf33,-0.18357086092754,39.9504600141543
C13orf35,0.503505267157728,79.8891247935834
C14orf1,0.0130256087334302,54.6296296296296
C14orf101,-0.551080959076397,19.933946685539
C14orf102,0.281016492688777,70.8775654635527
C14orf105,0.529186139627863,80.8150507195093
C14orf118,0.0846217467447619,60.3149327671621
C14orf119,0.169169615482522,65.3338051427223
C14orf126,-0.0531135451807282,49.3866477942911
C14orf129,-0.0310671880788603,51.0379806558151
C14orf142,0.035072053907763,56.2514744043406
C14orf149,0.328949043699385,73.4135409294645
C14orf159,1.89421494305864,97.3342769521113
C14orf166,-0.317668748016334,31.4578910120311
C14orf166B,-0.176292080605542,40.5638122198632
C14orf176,0.0571185339035323,57.997169143666
C14orf177,0.459411326240879,78.2849728709601
